model_id,country_iso3,currency,base_date,date,price_usd_base,price_usd_now,fx_rate_base,fx_rate_now,rate_type,fx_source_base,fx_source_now,price_local_base,price_local_now,index_local,component_ratecard,component_fx,total_pct,ratecard_basis,partial_series,evidence_status,temporal_status,headline_eligible,weakest_input,formula_version,compiled
Gemini 3.8 Flash,EGY,EGP,2026-01-15,2026-09-21,1.6875,3.375,47.2692,51.8636,official,Yahoo Finance (USDEGP=X),Central Bank of Egypt,79.7668,175.0396,219.4393,69.314718,9.275827,78.590546,recorded event,yes,derived,measured,False,model price row is trade_reporting,B-1.0,2026-09-21
Gemini 3.8 Flash,MAR,MAD,2026-01-15,2026-09-18,1.6875,3.375,9.2216,9.5119,official,Bank Al-Maghrib,Bank Al-Maghrib,15.5615,32.1027,206.2961,69.314718,3.099509,72.414227,recorded event,yes,derived,measured,False,model price row is trade_reporting,B-1.0,2026-09-21
Gemini 3.8 Flash,ETH,ETB,2026-01-15,2026-09-18,1.6875,3.375,154.899994,160.649994,official,Yahoo Finance (USDETB=X),Yahoo Finance (USDETB=X),261.3937,542.1937,207.4241,69.314718,3.644834,72.959552,recorded event,yes,derived,measured,False,model price row is trade_reporting,B-1.0,2026-09-21
Gemini 3.8 Flash,RWA,RWF,2026-01-15,2026-09-21,1.6875,3.375,1447.0,1467.849976,official,Yahoo Finance (USDRWF=X),Yahoo Finance (USDRWF=X),2441.8125,4953.9937,202.8818,69.314718,1.430628,70.745346,recorded event,yes,derived,measured,False,model price row is trade_reporting,B-1.0,2026-09-21
Gemini 3.8 Flash,SEN,XOF,2026-01-15,2026-09-18,1.6875,3.375,561.0,572.39,official,Yahoo Finance (USDXOF=X),BCEAO (Central Bank of West African States),946.6875,1931.8162,204.0606,69.314718,2.009967,71.324685,recorded event,yes,derived,measured,False,model price row is trade_reporting,B-1.0,2026-09-21
Gemini 3.8 Flash,CIV,XOF,2026-01-15,2026-09-18,1.6875,3.375,561.0,572.39,official,Yahoo Finance (USDXOF=X),BCEAO (Central Bank of West African States),946.6875,1931.8162,204.0606,69.314718,2.009967,71.324685,recorded event,yes,derived,measured,False,model price row is trade_reporting,B-1.0,2026-09-21
Kimi K3 (max),NGA,NGN,2026-01-15,2026-09-18,6.75,6.75,1418.7844,1330.7027,official,Central Bank of Nigeria,Central Bank of Nigeria,9576.7947,8982.2432,93.7917,0.0,-6.40933,-6.40933,"single observation, no change recorded",yes,derived,measured,False,model price row is trade_reporting,B-1.0,2026-09-21
Kimi K3 (max),KEN,KES,2026-01-15,2026-09-18,6.75,6.75,129.03,129.49,official,Central Bank of Kenya,Central Bank of Kenya,870.9525,874.0575,100.3565,0.0,0.355872,0.355872,"single observation, no change recorded",yes,derived,measured,False,model price row is trade_reporting,B-1.0,2026-09-21
Kimi K3 (max),ZAF,ZAR,2026-01-15,2026-09-21,6.75,6.75,16.4105,16.2057,official,South African Reserve Bank,South African Reserve Bank,110.7709,109.3885,98.752,0.0,-1.255834,-1.255834,"single observation, no change recorded",yes,derived,measured,False,model price row is trade_reporting,B-1.0,2026-09-21
Kimi K3 (max),GHA,GHS,2026-01-15,2026-09-21,6.75,6.75,10.8,11.48,official,Yahoo Finance (USDGHS=X),Yahoo Finance (USDGHS=X),72.9,77.49,106.2963,0.0,6.106026,6.106026,"single observation, no change recorded",yes,derived,measured,False,model price row is trade_reporting,B-1.0,2026-09-21
Kimi K3 (max),EGY,EGP,2026-01-15,2026-09-21,6.75,6.75,47.2692,51.8636,official,Yahoo Finance (USDEGP=X),Central Bank of Egypt,319.0671,350.0793,109.7196,0.0,9.275827,9.275827,"single observation, no change recorded",yes,derived,measured,False,model price row is trade_reporting,B-1.0,2026-09-21
Kimi K3 (max),MAR,MAD,2026-01-15,2026-09-18,6.75,6.75,9.2216,9.5119,official,Bank Al-Maghrib,Bank Al-Maghrib,62.2458,64.2053,103.148,0.0,3.099509,3.099509,"single observation, no change recorded",yes,derived,measured,False,model price row is trade_reporting,B-1.0,2026-09-21
Kimi K3 (max),ETH,ETB,2026-01-15,2026-09-18,6.75,6.75,154.899994,160.649994,official,Yahoo Finance (USDETB=X),Yahoo Finance (USDETB=X),1045.575,1084.3875,103.7121,0.0,3.644834,3.644834,"single observation, no change recorded",yes,derived,measured,False,model price row is trade_reporting,B-1.0,2026-09-21
Kimi K3 (max),RWA,RWF,2026-01-15,2026-09-21,6.75,6.75,1447.0,1467.849976,official,Yahoo Finance (USDRWF=X),Yahoo Finance (USDRWF=X),9767.25,9907.9873,101.4409,0.0,1.430628,1.430628,"single observation, no change recorded",yes,derived,measured,False,model price row is trade_reporting,B-1.0,2026-09-21
Kimi K3 (max),SEN,XOF,2026-01-15,2026-09-18,6.75,6.75,561.0,572.39,official,Yahoo Finance (USDXOF=X),BCEAO (Central Bank of West African States),3786.75,3863.6325,102.0303,0.0,2.009967,2.009967,"single observation, no change recorded",yes,derived,measured,False,model price row is trade_reporting,B-1.0,2026-09-21
Kimi K3 (max),CIV,XOF,2026-01-15,2026-09-18,6.75,6.75,561.0,572.39,official,Yahoo Finance (USDXOF=X),BCEAO (Central Bank of West African States),3786.75,3863.6325,102.0303,0.0,2.009967,2.009967,"single observation, no change recorded",yes,derived,measured,False,model price row is trade_reporting,B-1.0,2026-09-21
Grok 4.6,NGA,NGN,2026-01-15,2026-09-18,3.5,3.5,1418.7844,1330.7027,official,Central Bank of Nigeria,Central Bank of Nigeria,4965.7454,4657.4595,93.7917,0.0,-6.40933,-6.40933,"single observation, no change recorded",yes,derived,measured,True,,B-1.0,2026-09-21
Grok 4.6,KEN,KES,2026-01-15,2026-09-18,3.5,3.5,129.03,129.49,official,Central Bank of Kenya,Central Bank of Kenya,451.605,453.215,100.3565,0.0,0.355872,0.355872,"single observation, no change recorded",yes,derived,measured,True,,B-1.0,2026-09-21
Grok 4.6,ZAF,ZAR,2026-01-15,2026-09-21,3.5,3.5,16.4105,16.2057,official,South African Reserve Bank,South African Reserve Bank,57.4367,56.7199,98.752,0.0,-1.255834,-1.255834,"single observation, no change recorded",yes,derived,measured,True,,B-1.0,2026-09-21
Grok 4.6,GHA,GHS,2026-01-15,2026-09-21,3.5,3.5,10.8,11.48,official,Yahoo Finance (USDGHS=X),Yahoo Finance (USDGHS=X),37.8,40.18,106.2963,0.0,6.106026,6.106026,"single observation, no change recorded",yes,derived,measured,False,,B-1.0,2026-09-21
Grok 4.6,EGY,EGP,2026-01-15,2026-09-21,3.5,3.5,47.2692,51.8636,official,Yahoo Finance (USDEGP=X),Central Bank of Egypt,165.4422,181.5226,109.7196,0.0,9.275827,9.275827,"single observation, no change recorded",yes,derived,measured,False,,B-1.0,2026-09-21
Grok 4.6,MAR,MAD,2026-01-15,2026-09-18,3.5,3.5,9.2216,9.5119,official,Bank Al-Maghrib,Bank Al-Maghrib,32.2756,33.2917,103.148,0.0,3.099509,3.099509,"single observation, no change recorded",yes,derived,measured,True,,B-1.0,2026-09-21
Grok 4.6,ETH,ETB,2026-01-15,2026-09-18,3.5,3.5,154.899994,160.649994,official,Yahoo Finance (USDETB=X),Yahoo Finance (USDETB=X),542.15,562.275,103.7121,0.0,3.644834,3.644834,"single observation, no change recorded",yes,derived,measured,False,,B-1.0,2026-09-21
Grok 4.6,RWA,RWF,2026-01-15,2026-09-21,3.5,3.5,1447.0,1467.849976,official,Yahoo Finance (USDRWF=X),Yahoo Finance (USDRWF=X),5064.5,5137.4749,101.4409,0.0,1.430628,1.430628,"single observation, no change recorded",yes,derived,measured,False,,B-1.0,2026-09-21
Grok 4.6,SEN,XOF,2026-01-15,2026-09-18,3.5,3.5,561.0,572.39,official,Yahoo Finance (USDXOF=X),BCEAO (Central Bank of West African States),1963.5,2003.365,102.0303,0.0,2.009967,2.009967,"single observation, no change recorded",yes,derived,measured,False,,B-1.0,2026-09-21
Grok 4.6,CIV,XOF,2026-01-15,2026-09-18,3.5,3.5,561.0,572.39,official,Yahoo Finance (USDXOF=X),BCEAO (Central Bank of West African States),1963.5,2003.365,102.0303,0.0,2.009967,2.009967,"single observation, no change recorded",yes,derived,measured,False,,B-1.0,2026-09-21
DeepSeek V4 Pro 0813 (max),NGA,NGN,2026-01-15,2026-09-18,1.155,13.86,1418.7844,1330.7027,official,Central Bank of Nigeria,Central Bank of Nigeria,1638.696,18443.5394,1125.501,248.490665,-6.40933,242.081335,recorded event,yes,derived,measured,True,,B-1.0,2026-09-21
DeepSeek V4 Pro 0813 (max),KEN,KES,2026-01-15,2026-09-18,1.155,13.86,129.03,129.49,official,Central Bank of Kenya,Central Bank of Kenya,149.0297,1794.7314,1204.2781,248.490665,0.355872,248.846537,recorded event,yes,derived,measured,True,,B-1.0,2026-09-21
DeepSeek V4 Pro 0813 (max),ZAF,ZAR,2026-01-15,2026-09-21,1.155,13.86,16.4105,16.2057,official,South African Reserve Bank,South African Reserve Bank,18.9541,224.611,1185.0242,248.490665,-1.255834,247.234831,recorded event,yes,derived,measured,True,,B-1.0,2026-09-21
DeepSeek V4 Pro 0813 (max),GHA,GHS,2026-01-15,2026-09-21,1.155,13.86,10.8,11.48,official,Yahoo Finance (USDGHS=X),Yahoo Finance (USDGHS=X),12.474,159.1128,1275.5556,248.490665,6.106026,254.596691,recorded event,yes,derived,measured,False,,B-1.0,2026-09-21
DeepSeek V4 Pro 0813 (max),EGY,EGP,2026-01-15,2026-09-21,1.155,13.86,47.2692,51.8636,official,Yahoo Finance (USDEGP=X),Central Bank of Egypt,54.5959,718.8295,1316.6358,248.490665,9.275827,257.766492,recorded event,yes,derived,measured,False,,B-1.0,2026-09-21
DeepSeek V4 Pro 0813 (max),MAR,MAD,2026-01-15,2026-09-18,1.155,13.86,9.2216,9.5119,official,Bank Al-Maghrib,Bank Al-Maghrib,10.6509,131.8349,1237.7765,248.490665,3.099509,251.590174,recorded event,yes,derived,measured,True,,B-1.0,2026-09-21
DeepSeek V4 Pro 0813 (max),ETH,ETB,2026-01-15,2026-09-18,1.155,13.86,154.899994,160.649994,official,Yahoo Finance (USDETB=X),Yahoo Finance (USDETB=X),178.9095,2226.6089,1244.5449,248.490665,3.644834,252.135499,recorded event,yes,derived,measured,False,,B-1.0,2026-09-21
DeepSeek V4 Pro 0813 (max),RWA,RWF,2026-01-15,2026-09-21,1.155,13.86,1447.0,1467.849976,official,Yahoo Finance (USDRWF=X),Yahoo Finance (USDRWF=X),1671.285,20344.4007,1217.2909,248.490665,1.430628,249.921293,recorded event,yes,derived,measured,False,,B-1.0,2026-09-21
DeepSeek V4 Pro 0813 (max),SEN,XOF,2026-01-15,2026-09-18,1.155,13.86,561.0,572.39,official,Yahoo Finance (USDXOF=X),BCEAO (Central Bank of West African States),647.955,7933.3254,1224.3636,248.490665,2.009967,250.500632,recorded event,yes,derived,measured,False,,B-1.0,2026-09-21
DeepSeek V4 Pro 0813 (max),CIV,XOF,2026-01-15,2026-09-18,1.155,13.86,561.0,572.39,official,Yahoo Finance (USDXOF=X),BCEAO (Central Bank of West African States),647.955,7933.3254,1224.3636,248.490665,2.009967,250.500632,recorded event,yes,derived,measured,False,,B-1.0,2026-09-21
DeepSeek V4 Flash 0731,NGA,NGN,2026-01-15,2026-09-18,0.385,0.385,1418.7844,1330.7027,official,Central Bank of Nigeria,Central Bank of Nigeria,546.232,512.3205,93.7917,0.0,-6.40933,-6.40933,"single observation, no change recorded",yes,derived,measured,False,model price row is trade_reporting,B-1.0,2026-09-21
DeepSeek V4 Flash 0731,KEN,KES,2026-01-15,2026-09-18,0.385,0.385,129.03,129.49,official,Central Bank of Kenya,Central Bank of Kenya,49.6765,49.8537,100.3565,0.0,0.355872,0.355872,"single observation, no change recorded",yes,derived,measured,False,model price row is trade_reporting,B-1.0,2026-09-21
DeepSeek V4 Flash 0731,ZAF,ZAR,2026-01-15,2026-09-21,0.385,0.385,16.4105,16.2057,official,South African Reserve Bank,South African Reserve Bank,6.318,6.2392,98.752,0.0,-1.255834,-1.255834,"single observation, no change recorded",yes,derived,measured,False,model price row is trade_reporting,B-1.0,2026-09-21
DeepSeek V4 Flash 0731,GHA,GHS,2026-01-15,2026-09-21,0.385,0.385,10.8,11.48,official,Yahoo Finance (USDGHS=X),Yahoo Finance (USDGHS=X),4.158,4.4198,106.2963,0.0,6.106026,6.106026,"single observation, no change recorded",yes,derived,measured,False,model price row is trade_reporting,B-1.0,2026-09-21
DeepSeek V4 Flash 0731,EGY,EGP,2026-01-15,2026-09-21,0.385,0.385,47.2692,51.8636,official,Yahoo Finance (USDEGP=X),Central Bank of Egypt,18.1986,19.9675,109.7196,0.0,9.275827,9.275827,"single observation, no change recorded",yes,derived,measured,False,model price row is trade_reporting,B-1.0,2026-09-21
DeepSeek V4 Flash 0731,MAR,MAD,2026-01-15,2026-09-18,0.385,0.385,9.2216,9.5119,official,Bank Al-Maghrib,Bank Al-Maghrib,3.5503,3.6621,103.148,0.0,3.099509,3.099509,"single observation, no change recorded",yes,derived,measured,False,model price row is trade_reporting,B-1.0,2026-09-21
DeepSeek V4 Flash 0731,ETH,ETB,2026-01-15,2026-09-18,0.385,0.385,154.899994,160.649994,official,Yahoo Finance (USDETB=X),Yahoo Finance (USDETB=X),59.6365,61.8502,103.7121,0.0,3.644834,3.644834,"single observation, no change recorded",yes,derived,measured,False,model price row is trade_reporting,B-1.0,2026-09-21
DeepSeek V4 Flash 0731,RWA,RWF,2026-01-15,2026-09-21,0.385,0.385,1447.0,1467.849976,official,Yahoo Finance (USDRWF=X),Yahoo Finance (USDRWF=X),557.095,565.1222,101.4409,0.0,1.430628,1.430628,"single observation, no change recorded",yes,derived,measured,False,model price row is trade_reporting,B-1.0,2026-09-21
